product_id,product_name,category,unit_cost,list_price,product_tier
P0001,Desk Lamp Pro,Office,514.26,1160.07,Core
P0002,Mixer Grinder 2026,Home,286.08,384.94,Premium
P0003,Air Purifier Lite,Home,859.5,1375.05,Seasonal
P0004,Wireless Earbuds 2025,Electronics,533.26,1072.13,Core
P0005,Monitor Max,Office,453.94,759.54,Core
P0006,Laptop Stand 2025,Accessories,131.11,215.16,Seasonal
P0007,Air Purifier Pro,Home,255.48,343.74,Core
P0008,Travel Adapter Plus,Accessories,27.08,38.24,Core
P0009,Cloud Backup Max,Software,589.89,841.39,Core
P0010,Smartwatch Max,Electronics,954.38,1409.68,Core
P0011,Bluetooth Speaker 2026,Electronics,603.08,896.52,Premium
P0012,Design Suite Lite,Software,183.33,306.89,Premium
P0013,Travel Adapter 2025,Accessories,317.3,505.94,Core
P0014,Mouse Pro,Office,646.64,1402.62,Premium
P0015,Smartwatch 2026,Electronics,499.79,1006.72,Premium
P0016,Resistance Set 2025,Fitness,725.28,1282.25,Core
P0017,Air Purifier Max,Home,86.99,196.46,Core
P0018,Laptop Stand Plus,Accessories,187.99,262.23,Premium
P0019,Fitness Band Max,Fitness,72.56,169.6,Core
P0020,Power Bank Lite,Electronics,424.45,746.96,Seasonal
P0021,Keyboard 2025,Office,467.85,920.27,Core
P0022,Monitor 2026,Office,489.17,844.17,Core
P0023,Keyboard Pro,Office,740.19,1252.52,Core
P0024,Monitor Lite,Office,329.27,714.29,Core
P0025,USB-C Cable Lite,Accessories,293.25,422.49,Seasonal
P0026,Desk Lamp 2025,Office,800.8,1196.1,Seasonal
P0027,Yoga Mat Pro,Fitness,301.78,453.52,Core
P0028,Travel Adapter Pro,Accessories,640.57,1392.85,Core
P0029,Vacuum Cleaner 2026,Home,435.46,836.34,Seasonal
P0030,Vacuum Cleaner Plus,Home,303.72,514.5,Core
P0031,Air Purifier Pro,Home,349.21,712.92,Premium
P0032,Desk Lamp Plus,Office,813.74,1400.48,Premium
P0033,Air Purifier Max,Home,510.08,1155.89,Premium
P0034,Team Collaboration 2025,Software,632.85,890.13,Seasonal
P0035,USB-C Cable 2026,Accessories,699.16,963.73,Seasonal
P0036,Fitness Band Max,Fitness,554.69,1132.46,Core
P0037,Travel Adapter 2026,Accessories,237.84,432.07,Seasonal
P0038,Monitor Plus,Office,103.94,141.33,Seasonal
P0039,Resistance Set Lite,Fitness,728.13,1182.74,Seasonal
P0040,Phone Case Plus,Accessories,238.63,454.07,Seasonal
P0041,Smart Bulb Lite,Home,685.79,1481.4,Seasonal
P0042,Laptop Stand 2025,Accessories,217.65,446.0,Core
P0043,USB-C Cable Lite,Accessories,461.12,912.95,Core
P0044,Power Bank Max,Electronics,581.48,921.14,Seasonal
P0045,Mouse Pro,Office,942.85,1484.33,Core
P0046,Smart Scale 2026,Fitness,85.35,189.56,Premium
P0047,Wireless Earbuds Lite,Electronics,148.41,305.49,Premium
P0048,Bluetooth Speaker Plus,Electronics,730.14,1422.08,Seasonal
P0049,Air Purifier 2026,Home,671.89,965.38,Seasonal
P0050,Air Purifier Lite,Home,372.58,506.16,Premium
P0051,Resistance Set 2025,Fitness,266.6,354.53,Premium
P0052,Fitness Band 2025,Fitness,626.89,1142.73,Seasonal
P0053,Bluetooth Speaker Lite,Electronics,372.85,654.39,Premium
P0054,Travel Adapter Plus,Accessories,909.93,1366.66,Seasonal
P0055,Mixer Grinder Lite,Home,535.74,948.22,Seasonal
P0056,Phone Case Pro,Accessories,345.93,532.96,Seasonal
P0057,Mouse Lite,Office,590.02,1147.6,Premium
P0058,Travel Adapter 2026,Accessories,463.01,964.0,Premium
P0059,Vacuum Cleaner Plus,Home,84.71,151.76,Seasonal
P0060,Monitor Max,Office,203.68,369.86,Core
P0061,Laptop Stand 2025,Accessories,463.63,750.87,Seasonal
P0062,Smart Scale 2025,Fitness,510.97,694.17,Core
P0063,Resistance Set 2025,Fitness,247.16,324.88,Seasonal
P0064,Keyboard Max,Office,635.84,1434.02,Premium
P0065,Smart Bulb Max,Home,27.63,55.28,Seasonal
P0066,Fitness Band Lite,Fitness,78.54,138.88,Core
P0067,Vacuum Cleaner 2026,Home,167.37,310.13,Core
P0068,Vacuum Cleaner Pro,Home,325.72,554.81,Seasonal
P0069,Mouse 2026,Office,172.31,238.77,Core
P0070,Vacuum Cleaner 2025,Home,535.36,768.96,Core
P0071,Laptop Stand Pro,Accessories,42.89,59.94,Seasonal
P0072,Phone Case 2025,Accessories,218.62,456.72,Core
P0073,Monitor Max,Office,603.89,1275.16,Seasonal
P0074,Keyboard Lite,Office,674.02,1388.19,Core
P0075,Phone Case 2025,Accessories,141.77,257.78,Premium
P0076,Analytics Pro Plus,Software,355.91,558.86,Core
P0077,USB-C Cable Lite,Accessories,426.47,708.45,Core
P0078,Design Suite Max,Software,30.06,64.51,Premium
P0079,Wireless Earbuds Max,Electronics,901.23,1439.37,Premium
P0080,Smartwatch Lite,Electronics,380.97,826.23,Seasonal
P0081,Bluetooth Speaker Lite,Electronics,111.16,155.22,Core
P0082,Mixer Grinder Pro,Home,487.01,1075.28,Core
P0083,Bluetooth Speaker 2025,Electronics,344.53,727.13,Seasonal
P0084,USB-C Cable 2025,Accessories,579.62,914.28,Seasonal
P0085,USB-C Cable Pro,Accessories,751.12,1031.08,Seasonal
P0086,Travel Adapter Pro,Accessories,412.88,692.8,Core
P0087,Keyboard Lite,Office,488.74,1018.46,Premium
P0088,Mixer Grinder Plus,Home,711.19,1118.48,Core
P0089,Vacuum Cleaner Max,Home,662.73,972.05,Core
P0090,Cloud Backup 2025,Software,436.95,979.92,Seasonal
P0091,Air Purifier Lite,Home,628.74,827.35,Core
P0092,Team Collaboration Pro,Software,484.84,669.86,Core
P0093,Mouse Pro,Office,182.66,339.7,Core
P0094,Vacuum Cleaner Plus,Home,129.4,266.92,Seasonal
P0095,Monitor Max,Office,311.44,490.49,Premium
P0096,Mouse Plus,Office,397.63,792.96,Core
P0097,Fitness Band 2025,Fitness,829.76,1359.95,Premium
P0098,Team Collaboration 2026,Software,602.84,1307.08,Core
P0099,Vacuum Cleaner 2025,Home,71.65,95.53,Premium
P0100,Resistance Set Pro,Fitness,256.86,374.7,Core
P0101,Travel Adapter 2026,Accessories,74.78,97.06,Premium
P0102,Power Bank Pro,Electronics,583.85,909.86,Core
P0103,Yoga Mat 2025,Fitness,314.63,482.24,Seasonal
P0104,Wireless Earbuds 2025,Electronics,283.92,626.48,Seasonal
P0105,Monitor Max,Office,209.69,449.16,Seasonal
P0106,Vacuum Cleaner 2025,Home,621.52,1463.96,Seasonal
P0107,Laptop Stand 2026,Accessories,600.69,1370.62,Core
P0108,Wireless Earbuds 2025,Electronics,779.55,1244.01,Seasonal
P0109,Mixer Grinder Plus,Home,731.59,1378.34,Core
P0110,Monitor Lite,Office,553.22,1257.42,Premium
P0111,Power Bank Plus,Electronics,993.37,1359.7,Seasonal
P0112,Cloud Backup Pro,Software,156.39,206.58,Core
P0113,Smart Scale 2026,Fitness,802.52,1263.09,Seasonal
P0114,Mixer Grinder Max,Home,227.51,315.13,Core
P0115,Travel Adapter Max,Accessories,878.3,1480.76,Seasonal
P0116,Travel Adapter Max,Accessories,378.31,717.61,Premium
P0117,Smart Scale 2025,Fitness,386.79,755.17,Seasonal
P0118,Phone Case Plus,Accessories,266.74,443.43,Seasonal
P0119,Keyboard Plus,Office,194.98,427.15,Core
P0120,Cloud Backup 2026,Software,65.55,124.04,Core
P0121,Analytics Pro Pro,Software,785.58,1356.22,Seasonal
P0122,Cloud Backup 2026,Software,215.25,368.28,Premium
P0123,Desk Lamp Max,Office,336.46,697.09,Core
P0124,Monitor Lite,Office,776.35,1335.61,Core
P0125,Design Suite Lite,Software,615.23,969.85,Core
P0126,Desk Lamp 2025,Office,46.21,63.5,Core
P0127,Mouse 2025,Office,412.14,607.35,Core
P0128,Design Suite 2026,Software,450.7,655.11,Core
P0129,Smartwatch Lite,Electronics,789.36,1313.16,Seasonal
P0130,Laptop Stand 2026,Accessories,316.46,669.14,Seasonal
P0131,Smart Bulb 2025,Home,454.74,660.78,Seasonal
P0132,USB-C Cable Plus,Accessories,1054.94,1451.89,Premium
P0133,Cloud Backup Max,Software,898.54,1262.73,Core
P0134,Smart Bulb Pro,Home,312.39,695.77,Core
P0135,Bluetooth Speaker Pro,Electronics,155.97,352.68,Seasonal
P0136,Air Purifier 2025,Home,415.89,724.98,Seasonal
P0137,Cloud Backup 2026,Software,353.24,638.6,Premium
P0138,Wireless Earbuds Lite,Electronics,251.15,527.28,Premium
P0139,Laptop Stand Lite,Accessories,267.11,445.15,Seasonal
P0140,Smart Scale Lite,Fitness,600.1,1255.13,Core
P0141,Mouse Lite,Office,524.38,1212.25,Premium
P0142,Smart Bulb Lite,Home,143.12,239.2,Premium
